Year,Winner,Goals Scored,Wins,Dominance_Index
1930,Uruguay,70.0,18,88.0
1934,Italy,70.0,17,87.0
1938,Italy,84.0,18,102.0
1950,Uruguay,88.0,22,110.0
1954,Germany FR,140.0,26,166.0
1958,Brazil,126.0,35,161.0
1962,Brazil,89.0,32,121.0
1966,England,89.0,32,121.0
1970,Brazil,95.0,32,127.0
1974,Germany FR,97.0,38,135.0
1978,Argentina,102.0,38,140.0
1982,Italy,146.0,52,198.0
1986,Argentina,132.0,52,184.0
1990,Germany FR,115.0,52,167.0
1994,Brazil,141.0,52,193.0
1998,France,171.0,64,235.0
2002,Brazil,161.0,64,225.0
2006,Italy,147.0,64,211.0
2010,Spain,145.0,64,209.0
2014,Germany,171.0,64,235.0
2018,France,169.0,64,233.0
2022,,,64,
