Group,Team,FIFA Ranking,Historical_Avg_Wins,Normalized_FIFA_Rank,Performance_Diff
A,Qatar,50,0.415929204,0.183333333,0.23259587
A,Ecuador,44,0.298507463,0.283333333,0.015174129
A,Senegal,18,0.449122807,0.716666667,-0.26754386
A,Netherlands,8,0.511082138,0.883333333,-0.372251195
B,England,5,0.579487179,0.933333333,-0.353846154
B,Iran,20,0.568588469,0.683333333,-0.114744864
B,United States,16,0.450072359,0.75,-0.299927641
B,Wales,19,0.321637427,0.7,-0.378362573
C,Argentina,3,0.541442411,0.966666667,-0.425224255
C,Saudi Arabia,51,0.490506329,0.166666667,0.323839662
C,Mexico,13,0.520833333,0.8,-0.279166667
C,Poland,26,0.42804428,0.583333333,-0.155289053
D,France,4,0.498759305,0.95,-0.451240695
D,Australia,38,0.513461538,0.383333333,0.130128205
D,Denmark,10,0.457354759,0.85,-0.392645241
D,Tunisia,30,0.435430464,0.516666667,-0.081236203
E,Spain,7,0.592481203,0.9,-0.307518797
E,Costa Rica,31,0.434022258,0.5,-0.065977742
E,Germany,11,0.578465063,0.833333333,-0.25486827
E,Japan,24,0.48861912,0.616666667,-0.128047547
F,Belgium,2,0.443559097,0.983333333,-0.539774236
F,Canada,41,0.376528117,0.333333333,0.043194784
F,Morocco,22,0.48381295,0.65,-0.16618705
F,Croatia,12,0.530487805,0.816666667,-0.286178862
G,Brazil,1,0.637265711,1,-0.362734289
G,Serbia,21,0.462328767,0.666666667,-0.2043379
G,Switzerland,15,0.355163728,0.766666667,-0.411502939
G,Cameroon,43,0.447080292,0.3,0.147080292
H,Portugal,9,0.489430894,0.866666667,-0.377235772
H,Ghana,61,0.474193548,0,0.474193548
H,Uruguay,14,0.436046512,0.783333333,-0.347286822
H,South Korea,28,0.542725173,0.55,-0.007274827
